Jahr,Zeichen,Kategorie,Titel
"2005","WD1-137/05","A","Die Rolle der USA im europäischen Einigungsprozess bis zum Ende des Ost-West-Konflikts"
"2005","WD1-143/05","A","Alleen und Alleenstraßen in Deutschland: Historische, kulturelle und militärische Aspekte"
"2005","WD1-145/05","A","Ursachen und Folgen des Berliner Kongresses von 1878 unter besonderer Berücksichtigung der Balkankriege"
"2005","WD1-159/05","A","Veränderungen in der amerikanischen Gesellschaft und im Regierungssystem der USA als Folge der veränderten internationalen Rolle der USA seit dem Ende des Kalten Krieges"
"2005","WD1-167/05","AI","Mehrheitsverhältnisse von Koalition und Opposition im Deutschen Bundestag - Von der 1. WP bis 16. WP (1949-2005)"
"2005","WD1-168/05","AI","Koalitionsmanagement"
"2005","WD1-170/05","A","Die Wertediskussion"
"2005","WD1-212/05","A","Die Entwicklung der Deutschen Turnerschaften 1933 bis zu ihrer Auflösung 1936"
"2013","PE6-001/13","A","EU-Bankenaufsicht - Zugriff auf Sparkassen und Funktionsweise der Aufsicht"
"2013","PE6-002/13","A","Kennzeichnung von Getränkeverpackungen mit ""Einweg"" oder ""Mehrweg"""
"2013","PE6-004/13","A","Zur Vereinbarkeit des Vorschlags der Kornmission zur Neufassung der Tabakproduktrichtlinie mit dem Subsidiaritätsprinzip und dem Grundsatz der Verhältnismäßigkeit"
"2013","PE6-005/13","AI","Einheitlicher Europäischer Bankenaufsichtsmechanismus (EAM) - Von den Vorschlägen der Kornmission zur politischen Einigung im Rat"
"2013","PE6-009/13","A","Unionsrechtliche Zulässigkeit eines Werbeverbots für Arzneimittelvertreter in Arztpraxen"
"2013","PE6-011/13","A","EU-Rede des britischen Premierministers David Cameron und Umsetzungsoptionen der darin geäußerten Vorstellungen für eine Reform der EU"
"2013","PE6-015/13","A","Möglichkeiten zur Einführung einer Finanztransaktionssteuer im Falle des Scheiterns der Verhandlungen bei der Durchführung der Verstärkten Zusammenarbeit"
