"ID","Abteilung","Jahr","Aktenzeichen","Status","Titel"
"11-2015-070","11","2015","PE 6 - 070/15","A","Vereinbarkeit des „Entwurfs eines Gesetzes zur Einführung einer Speicherpflicht und einer Höchstspeicherfrist für Verkehrsdaten“ mit dem EuGH-Urteil vom 8, April 2014"
"11-2015-065","11","2015","PE 6 - 065/15","A","Kommunale Kultur-Eigenbetriebe und EU-Beihilfenrecht"
"11-2015-063","11","2015","PE 6 - 063/15","A","Die Vereinbarkeit einer nationalen Holzkennzeichnungspflicht mit EU-Recht"
"11-2015-060","11","2015","PE 6 - 060/15","A","Auswirkungen der sog. „Enforcement Workshops“ der Europäischen Kommission auf die Handlungsbefugnisse des Deutschen Bundestages bei der Umsetzung von Richtlinien"
"11-2015-057","11","2015","PE 6 - 057/15","A","Die rechtliche Einbindung einer Verkehrsinfrastrukturgesellschaft und ÖPP in die europäische Schuldenregel"
"11-2015-053","11","2015","PE 6 - 053/15","A","Europarechtliche Spielräume zur Einführung einer Speicherpflicht und Höchstspeicherfrist für Verkehrsdaten in den Mitgliedstaaten der Europäischen Union"
"11-2015-051","11","2015","PE 6 - 051/15","A","Die Mitgliedschaft im „Netzwerk gentechnikfreier Regionen in Europa“ als Begründung für ein Verbot des Anbaus von gentechnisch veränderten Organismen"
"11-2015-049","11","2015","PE 6 - 049/15","A","Vorläufiger Rechtsschutz vor Unionsgerichten gegenüber Maßnahmen der EZB im Zusammenhang mit der Liquidiatätsversorgung von mitgliedstaatlichen Gechäftsbanken"
"11-2015-048","11","2015","PE 6 - 048/15","A","Allgemeine Steuergutschrift für Forschungs- und Entwicklungsaufwendungen für KMU und EU-Beihilferecht"
"11-2015-046","11","2015","PE 6 - 046/15","A","Unionsrechtliche Anforderungen an einen Beitritt der EU zum Europarat"
"11-2015-045","11","2015","PE 6 - 045/15","A","Verfahrensrechtliche Anforderungen des Unionsrechts bei der Einführung eines Leistungsschutzrechts für Presseverleger"
"11-2015-044","11","2015","PE 6 - 044/15","A","Unionsrechtliche Regelungen zur strafrechtlichen Verfolgung von Hassreden"
"11-2015-043","11","2015","PE 6 - 043/15","A","Fragen zu einem unionsrechtlichen Import- und Handelsverbot von mit Frackingsmethoden geförderten fossilen Energieträgern"
"11-2015-042","11","2015","PE 6 - 042/15","A","Regulierung von Kosmetika im Rahmen der Verhandlungen für ein transatlantisches Handels- und Investitionsabkommen (Transatlantic Trade and Investment Partnership (TTIP))"
"11-2015-040","11","2015","PE 6 - 040/15","A","Unionsrechtliche Regelungen zur Strafbarkeit von Hassreden"
"11-2015-037","11","2015","PE 6 - 037/15","A","Einseitige mitgliedstaatliche Kündigung von EU-Freihandelsabkommen"
"11-2015-036","11","2015","PE 6 - 036/15","A","Zur Anwendung der AIFM-RL auf Genossenschaften"
"11-2015-034","11","2015","PE 6 - 034/15","A","Beteiligung der Mitgliedstaaten am europäischen Emissionszertifikatehandel"
"11-2015-032","11","2015","PE 6 - 032/15","A","Unionsrechtliche Anforderungen an eine europäische Vorabprüfung von Finanzmarktprodukten"
