"137/05WD1";"A";"Die Rolle der USA im europäischen Einigungsprozess bis zum Ende des Ost-West-Konflikts"
"143/05WD1";"A";"Alleen und Alleenstraßen in Deutschland: Historische, kulturelle und militärische Aspekte"
"145/05WD1";"A";"Ursachen und Folgen des Berliner Kongresses von 1878 unter besonderer Berücksichtigung der Balkankriege"
"159/05WD1";"A";"Veränderungen in der amerikanischen Gesellschaft und im Regierungssystem der USA als Folge der veränderten internationalen Rolle der USA seit dem Ende des Kalten Krieges"
"167/05WD1";"AI";"Mehrheitsverhältnisse von Koalition und Opposition im Deutschen Bundestag - Von der 1. WP bis 16. WP (1949-2005)"
"168/05WD1";"AI";"Koalitionsmanagement"
"170/05WD1";"A";"Die Wertediskussion"
"212/05WD1";"A";"Die Entwicklung der Deutschen Turnerschaften 1933 bis zu ihrer Auflösung 1936"
"PE6-001/13";"A";"EU-Bankenaufsicht - Zugriff auf Sparkassen und Funktionsweise der Aufsicht"
"PE6-002/13";"A";"Kennzeichnung von Getränkeverpackungen mit ""Einweg"" oder ""Mehrweg"""
"PE6-004/13";"A";"Zur Vereinbarkeit des Vorschlags der Kornmission zur Neufassung der Tabakproduktrichtlinie mit dem Subsidiaritätsprinzip und dem Grundsatz der Verhältnismäßigkeit"
"PE6-005/13";"AI";"Einheitlicher Europäischer Bankenaufsichtsmechanismus (EAM) - Von den Vorschlägen der Kornmission zur politischen Einigung im Rat"
"PE6-009/13";"A";"Unionsrechtliche Zulässigkeit eines Werbeverbots für Arzneimittelvertreter in Arztpraxen"
"PE6-011/13";"A";"EU-Rede des britischen Premierministers David Cameron und Umsetzungsoptionen der darin geäußerten Vorstellungen für eine Reform der EU"
"PE6-015/13";"A";"Möglichkeiten zur Einführung einer Finanztransaktionssteuer im Falle des Scheiterns der Verhandlungen bei der Durchführung der Verstärkten Zusammenarbeit"
"PE6-016/13";"A";"Zur Vereinbarkeit des Vorschlags der Kommission zur Änderung der Richtlinie zur Angleichung der Rechts- und Verwaltungsvorschriften der Mitgliedstaaten über die Herstellung, die Aufmachung und den Verkauf von Tabakerzeugnissen (Tabakproduktionsrichtlinie) mit dem Subsidiaritätsprinzip"
"PE6-018/13";"A";"Grundlegende Rechtsprechung des EuGH im Bereich der Wirtschafts- und Sozialpolitik- Auswahl"
"PE6-024/13";"A";"Modifikation der Übergangsregelungen betreffend die Anwendung der Arbeitnehmerfreizügigkeit auf bulgarische und rumänische Staatsangehörige"
"PE6-029/13";"A";"Die Netzentgeltbefreiung nach StromNEV und das EEG im Lichte des EU-Beihilfenrechts"
"PE6-033/13";"A";"Die Revision der Tabakproduktrichtline - Kompetenzgrundlage Vereinbarkeit mit dem Grundgesetz und europäischen Grundrechten"
"PE6-038/13";"A";"Fragen zu den Vereinbarungen über einen finanziellen Beistand für die Republik Zypern"
"PE6-039/13";"A";"Unionsrechtliche Bewertung einer möglichen Beteiligung des Freistaates Bayern an dem GBW AG-Veräußerungsverfahren der BayernLB"
"PE6-040/13";"A";"Exportverbot für Arzneimittel durch Griechenland"
"PE6-044/13";"A";"Zypern-Hilfe- Anwendbare Regeln und Verfahren"
"PE6-046/13";"A";"Gesetzes- und Verfassungsänderungen in Ungarn seit 2010 aus Sicht des Rechts der Europäischen Union"
"PE6-047/13";"A";"Freihandelsabkommen zwischen der EU einerseits und Kolumbien und Peru andererseits"
"PE6-049/13";"A";"Handelsübereinkommen EU - Kolumbien/Peru"
"PE6-051/13";"A";"EU-Rechtliche Vorgaben für die etwaige Aufnahme von Beratungsleistungen in den verbindlichen Teil der Honorarordnung für Architekten und Ingenieure"
"PE6-056/13";"A";"Immunitäten, Sonderrechte und Gehälter der Direktoriumsmitglieder und Angestellten der Europäischen Zentralbank"
"PE6-061/13";"A";"Rebenzüchtung in Deutschland und EU-Wettbewerbsrecht"
"PE6-063/13";"A";"Fragen zur geplanten Europäischen Waldkonvention"
"PE6-064/13";"A";"Vollzeit-Präsident für die Eurogruppe - Vereinbarkeit mit den EU-Verträgen und Wählbarkeit aus den Reihen der nationalen Finanzminister der Euro-Staaten?"
"PE6-065/13";"A";"Fragen zum Bewertungsverfahren von Immobilien - Sondervermögen im Rahmen von alternativen Investmentfonds"
"PE6-067/13";"A";"Zentrale europäische Abwicklungsbehörde und gemeinsamer europäischer Abwicklungsfonds im Rahmen der Bankenunion - Zur Frage der Notwendigkeit einer Vertragsänderung"
"PE6-072/13";"A";"Das Mandat der Europäischen Zentralbank im Rahmen der Troika"
"PE6-074/13";"A";"Fragen zur Anwendung der Safe Harbor Grundsätze zwischen der EU und den USA"
"PE6-076/13";"A";"Transatlantic Trade and Investment Partnership (TTIP) und Investor-Staat-Streitbeilegungsmechanismen"
"PE6-078/13";"A";"Der Kommissionsvorschlag für eine Konzessionsrichtlinie und Gesundheitsdienstleistungen"
"PE6-079/13";"A";"Zur Richtlinie 2006/40/EG über Emissionen aus Klimaanlagen in Kraftfahrzeugen - Sanktionen für richtlinienwidrig produzierte und zugelassene der Genehmigungsbehörde, nachträglichen Erweiterung einer Typengenehmigung Fahrzeuge, Rechtsmittel gegen Entscheidungen"
"PE6-085/13";"A";"Einzelfragen zur geplanten Verordnung des Europäischen Parlaments und des Rates über klinische Prüfungen mit Humanarzneimitteln"
"PE6-087/13";"A";"Fragen zur EU-Kompetenz für die Ausweisung der Ostsee als Emissionsüberwachungsgebiet für Stickstoffoxid (NECA)"
"PE6-090/13";"A";"Fragen zur Klage des Vereinigten Königreichs gegen den Ratsbeschluss 2013/52/EU über die Ermächtigung zu einer Verstärkten Zusammenarbeit im Bereich der Finanztransaktionssteuer (EuGH, Rs. C-209/13)"
"PE6-092/13";"A";"Durchsuchungs- und Vernichtungsaktion bei der britischen Tageszeitung ""The Guardian"" - Verstoß gegen die Europäische Grundrechte-Charta"
"WD1-001/08";"A";"Zur politischen und öffentlichen Debatte um die Abschaffung der §§ 175 und 175 a StGB"
"WD1-002/06";"A";"SPD und deutsche Vereinigung"
"WD1-003/10";"A";"Die Bedeutung des zweiten Gebots in Politik und Alltag"
"WD1-005/11";"A";"Rat für Nachhaltige Entwicklung in Deutschland, Ombudsmann für Zukünftige Generationen in Ungarn, Kommission für Zukünftige Generationen in Israel - Organisation und Aufgaben"
"WD1-006/09";"A";"Das Ende der DDR-Wirtschaft"
"WD1-006/13";"A";"Elysée-Vertrag. Debatten und Abstimmungen in der Assemblée nationale und im Deutschen Bundestag"
"WD1-008/09";"A";"Biographische Angaben zu den Mitgliedern des Parlamentarischen Rates während der Zeit des Nationalsozialismus"
"WD1-008/13";"AI";"Alljährlich wiederkehrende Aktions- und Thementage"
"WD1-009/12";"A";"Joseph von Eichendorff, Heinrich Beine und ihr Verhältnis zu Deutschland"
"WD1-009/13";"A";"Antisemitismus-Definitionen und ihre Bedeutung für die Bekämpfung von antisemitischem Denken und die Verfolgung antisemitischer Straftaten"
"WD1-010/09";"AI";"Innen- und wirtschaftspolitische Herausforderungen an US- Präsident Barack H. Obama"
"WD1-011/11";"A";"Deutsche Kriegsgefangene in sowjetischem Gewahrsam"
"WD1-011/13";"A";"Beutekunst"
"WD1-012/06";"A";"Überblick zur Euthanasie im Nationalsozialismus"
"WD1-012/10";"A";"Zur deutschen Besetzung Dänemarks im Zweiten Weltkrieg (1940-1945)"
"WD1-013/09";"A";"Faktorenanalyse für den Niedergang einer Regierungspartei am Beispiel Rheinland-Pfalz und Nordrhein-Westfalen"
"WD1-013/13";"A";"Salafismus in Deutschland"
"WD1-014/12";"A";"Parlamentarische Höhepunkte seit 1989/90"
"WD1-014/13";"A";"Das sogenannte Berlin/Bonn-Gesetz. Entstehung, Umsetzung und Perspektiven"
"WD1-016/07";"A";"Entwicklung von Staat und Verfassung in Israel"
"WD1-016/09";"A";"Zur Bedeutung der Christen in Israel"
"WD1-017/08";"A";"Geschichte der Sinologie in Deutschland"
"WD1-017/11";"A";"Mögliche Pläne für eine Annektierung Siziliens als 49. Bundestag der USA 1944/45"
"WD1-019/12";"A";"Zum Verhalten deutscher und italienischer Wehrmachtsverbände und sonstiger militärischer Einheiten in Italien"
"WD1-020/08";"A";"Zur Problematik der Asylgewährung für politische Straftäter"
"WD1-020/09";"A";"Verfolgung der Sinti und Roma im ""Dritten Reich"""
"WD1-020/10";"A";"Hintergründe zur aktuellen Homosexuellengesetzgebung in Uganda"
"WD1-020/12";"A";"Umgang mit Veteranen des Afghanistankrieges in Großbritannien, Frankreich, den Niederlanden, Polen und Österreich"
"WD1-021/11";"A";"Initiativen zur Förderung bürgerschaftliehen Engagements"
"WD1-021/12";"A";"Terror gegen die Wallstreet? Die Attentate auf J.P. Morgan und J.D. Rockefeller in der Entstehungszeit des ""Federal Reserve System"" 1914-20"
"WD1-022/07";"A";"Christian Science"
"WD1-022/09";"A";"Rechtsextremistische Jugendorganisationen in der Bundesrepublik Deutschland"
"WD1-022/12";"A";"Sozialpolitik aus christlicher Überzeugung? Eine Untersuchung des mutmaßlichen Einflusses von Zentrums-Partei und anderen christlich-sozialen Gruppierungen auf die ""Kaiserliche Botschaft"" von 1881 und die aus ihr resultierende Errichtung und Organisation der Sozialversicherung"
"WD1-022/13";"A";"Sinti und Roma in Österreich"
"WD1-023/11";"A";"Entschädigungsleistungen für während des Nationalsozialismus verfolgte Sinti und Roma"
"WD1-024/09";"A";"Geschwister Scholl"
"WD1-024/13";"AI";"Beutekunst"
"WD1-025/10";"A";"SPD: Entschädigung und Restitution nach 1945 und 1990"
"WD1-025/11";"A";"Einstellung von Ernst Thälmann zur parlamentarischen Demokratie im Allgemeinen und insbesondere zur Weimarer Republik"
"WD1-025/13";"A";"Die Auswirkung von Flucht und Vertreibung auf die Vermögensverteilung in Deutschland"
"WD1-026/08";"A";"Evangelikale Bewegungen in Deutschland"
"WD1-026/09";"A";"Zur politischen Laufbahn von Rudolph Virchow im Preußischen Abgeordnetenhaus sowie im Deutschen Reichstag"
"WD1-027/06";"A";"Wahlen, Regierungen und Mitgliederentwicklungen der Parteien in Deutschland im Zeitraum 1990 bis 2005 unter besonderer Berücksichtigung der CSU"
"WD1-028/11";"A";"Befunde der politikwissenschaftlichen Forschung zur Transparenz der Parteienfinanzierung"
"WD1-030/11";"A";"Regulierung von Meinungsumfragen"
"WD1-031/11";"A";"Der Beginn des Menschseins nach Auffassung der katholischen Kirche"
"WD1-032/09";"A";"Die Würdigung des Widerstandskämpfers Johann Georg Elser im Rahmen der Erinnerungs- und Gedenkstättenkultur der Bundesrepublik Deutschland"
"WD1-033/07";"A";"Die Benennung von Straßen in den neuen Ländern nach 1989/90 nach Vertretern und Vordenkern des Regimes beziehungsweise nach Bürgerrechtlern und Opfern des Regimes"
"WD1-033/12";"A";"Bezeichnet die Bundesregierung den Holocaust als Völkermord?"
"WD1-034/12";"A";"Stärken und Schwächen der Weimarer Reichsverfassung. Eine Gegenüberstellung"
"WD1-034/13";"A";"Nachfolgeorganisationen von SRP und KPD nach den Verbotsurteilen des Bundesverfassungsgerichts"
"WD1-035/10";"A";"Die ""Eindeutschung"" von Kindern während des Nationalsozialismus"
"WD1-036/08";"A";"Zur Diskussion um das aktive und passive Kommunalwahlrecht für Drittstaatsangehörige und zu den Auswirkungen der Umsetzung des Art. 6 Abs. 1 der Europaratskonvention "" Council of Europe, Convention on the Participation of Foreigners in Public Life at Local Level"","
"WD1-036/10";"A";"Sowjetische Kriegsgefangene in Deutschland 1941-1945."
"WD1-037/08";"A";"Die Turkmenistan-Afghanistan-Pakistan-Pipeline (TAP-Pipeline)"
"WD1-037/10";"A";"Störungen in der parlamentarischen Praxis der Weimarer Republik"
"WD1-038/07";"A";"Der Gesellschaftsvertrag bei Thomas Hobbes und Jean-Jacques Rousseau"
"WD1-038/08";"A";"Gesamtstaatliche Aspekte der Rittersturzkonferenz 1948"
"WD1-041/08";"A";"Fragen zur Falun Gong-Bewegung"
"WD1-041/11";"A";"Zwangsarbeit und Entschädigung"
"WD1-042/06";"A";"Pressefreiheit- Wesensmerkmal eines freiheitlichen Staates"
"WD1-042/11";"A";"War die Schill-Partei eine rechtspopulistische Partei?"
"WD1-042/12";"A";"Parlamentarische Höhepunkte 1949-1989"
"WD1-043/06";"A";"Politische Dimension der Fußball-Weltmeisterschaft 2006 in Deutschland"
"WD1-043/09";"A";"Entstehungsgeschichte BGB und Einfluss katholischer Organisationen"
"WD1-044/09";"A";"Rolle/Tätigkeit  Walter Dürrfelds für Hydrierwerke Pölitz AG im Nürnberger Nachfolgeprozess wegen IG Farben"
"WD1-044/12";"A";"Zwangsgermanisierung während der NS-Herrschaft: Zusammenfassung des Forschungsstandes mit besonderem Blick auf die Kinderraubpolitik der Nationalsozialisten im Zweiten Weltkrieg"
"WD1-045/06";"A";"Rechtsstaatlichkeit in Weißrussland"
"WD1-045/11";"A";"Deutsch-polnische Kulturbeziehungen im 18. und 19. Jahrhundert"
"WD1-045/12";"AI";"Dossier: Die Ratifikation der Ostverträge am 17. Mai 1972"
"WD1-048/10";"A";"Aufklärung der Missbrauchsvorgänge in der katholischen Kirche in Irland"
"WD1-048/13";"AI";"Realismus mit Vision: Die Politik John F. Kennedys im Spiegel seiner Ansprachen in Deutschland, 23.-26. Juni 1963"
"WD1-049/08";"A";"Die ""Turnhallenkonferenz"" in Namibia 1975-1977"
"WD1-049/13";"A";"Das deutsch-brasilianische Atomabkommen von 1975 aus heutiger Sicht"
"WD1-050/08";"A";"Politikverdrossenheit in Deutschland"
"WD1-051/10";"A";"Der Schuman-Plan"
"WD1-051/13";"A";"Die Europäische Union - Hüterin der Werte der Französischen Revolution"
"WD1-052/07";"A";"Entwicklung der Altersstruktur in Deutschland"
"WD1-052/08";"A";"Bedeutung der Vereine, Vereinskooperation (Netzwerke) für die demokratische Grundordnung"
"WD1-052/10";"A";"Das Reichskonkordat von 1933"
"WD1-052/12";"A";"Gesetzliche Änderungen zur Patientenverfügung in Europa nach dem Jahr 2008"
